1;Budzimir;Kozmiañ;571650822;77;562;16-123;152
2;Honorat;Potrymus;749068150;99;380;71-715;1157
3;Wielis³aw;Warnel;948658393;77;139;60-461;230
4;Wiêczys³aw;Bursell;519761306;173;646;18-500;1455
5;Moj¿esz;Piepióra;627536076;64;901;09-140;1650
6;Parys;Pilimon;915775204;144;795;64-606;352
7;Dobrowiest;Pawszak;655229521;99;770;65-245;1514
8;Stefan;Niciej;378733719;54;341;25-123;95
9;Niecis³aw;Celoch;468780620;43;874;00-059;454
10;Dymitr;Danulkiewicz;877347827;72;165;22-420;2
11;Humbert;Mussajko;579251864;128;229;05-420;1309
12;Kiry³;Blenia;943356845;84;151;21-002;249
13;Grzymis³aw;Siekludzki;944140821;92;822;81-369;1251
14;Lechos³aw;Soborzyñski;608253614;188;4;48-100;1003
15;Berno;Przybujewski;357603329;46;901;37-700;52
16;January;Mamiñski;776275432;188;809;58-309;1352
17;Edgar;Dry¿yñska;980338675;187;199;14-400;443
18;Dionizy;Ministerska;198482757;109;245;85-777;1166
19;Dobromys³;Foszmañczyk;833247029;136;497;08-113;938
20;Marcelin;Cip³a;501810251;162;874;26-200;398
21;Jan;Podmok³y;635392972;135;531;21-450;926
22;Gedeon;Awisko;397981638;148;955;63-505;931
23;Jeron;Przekadziñski;721843695;112;331;02-344;210
24;Budzigniew;Jareœ;305686832;39;535;21-210;352
25;Achilles;Storo¿yk;763929626;185;656;64-934;292
26;Florentyn;Sams;443204480;109;505;26-035;1168
27;Bernardyn;Stelmosiak;133398812;157;843;91-849;812
28;Domarat;Szczerbaczenko;598826697;136;686;85-200;473
29;Jaczewoj;Wo³otko;725026726;51;253;40-067;409
30;Gilbert;Buehl;318560825;149;107;30-688;157
31;Anastazy;Oœródka;490611143;147;986;49-120;1663
32;Duszan;Mierkus;664645532;182;288;32-329;1773
33;Przybys³aw;Kurkuc;229816535;138;864;50-433;1162
34;Sylweriusz;Piêciul;605536635;45;900;87-148;160
35;Nikanor;Pokr¹ska;385589308;46;330;16-050;841
36;Otomar;Cicio;998191650;174;339;86-300;1662
37;Radomi³;J¹draszak;981622204;3;920;41-208;1277
38;Jaromir;£anczura;405600102;24;999;83-440;144
39;Jacenty;Kruczonek;472158643;161;3;22-600;982
40;Faustyn;Jagaczewski;156569161;50;985;21-010;514
41;Symplicjusz;Niedoryœ;428073661;131;489;44-117;2012
42;January;Gótowski;267447744;187;180;42-400;132
43;Oleg;Loschmann;490980557;141;807;28-362;1853
44;Nahum;Martinez-Calbimonte;273423652;143;577;46-200;1555
45;Natan;Piekaœ;389091554;163;740;57-230;1850
46;Gniewosz;Wa³asiuk;382479664;192;132;00-375;1845
47;Amin;£odzian;191373279;94;145;43-110;1593
48;Chociemir;Jalalat;945823699;194;711;09-305;1087
49;Olaf;Be¿yk;213517019;164;351;26-212;627
50;Noemi;Tic;534615092;130;428;55-100;890
51;Rafa³;Szacht;135945105;24;596;23-415;1890
52;Sulibor;Grüning;535204873;181;564;06-415;324
53;Ulryk;Jêczmionko;339387292;162;343;83-130;476
54;Moj¿esz;Do¿yñska;512781529;143;662;42-207;1199
55;Oleg;Waligora;374151252;54;261;78-132;517
56;Domos³aw;Dubien;146265143;64;52;10-203;1437
57;Anatol;Naton;577301595;37;93;49-304;1517
58;Cibor;Gojt;805521956;38;405;74-500;876
59;Odo;Frendenberg;526440999;136;235;62-850;654
60;Uniewit;L¹dra;436589443;179;627;05-400;1375
61;Damian;Konczarenko;769655075;111;477;99-232;218
62;Kryspin;Dowhyluk;952720092;136;907;83-251;444
63;W³oœcis³aw;Rosa³owska;598439542;15;816;02-934;1482
64;Mauryn;Stokiñska;298670066;97;744;83-328;254
65;Tristan;Karadziej;145185244;2;415;25-346;1327
66;Eudoksjusz;Jedrejek;262777046;101;719;41-711;477
67;Celestyn;Bugaj³o;289053460;53;298;91-320;552
68;Kleofas;Borowycz;455989568;177;307;75-668;425
69;Jakub;Po³ucha;799386479;189;273;25-726;804
70;Artur;S³alski;492461573;113;662;55-040;1080
71;Sawin;P³ochowicz;111944244;174;486;26-650;810
72;Radowit;Zó³tek;125943943;121;631;66-500;1
73;Suliwoj;Smerel;509125905;177;869;60-013;1369
74;Bo¿ys³aw;Beznasik;531100618;2;796;03-963;1188
75;Romeo;£anczont;760925430;33;258;26-903;134
76;Euchariusz;Biniamin;902383857;75;725;37-552;1104
77;Wieñczys³aw;Miasiak;312016225;181;72;85-469;1271
78;Patrycjusz;Kleta;908554570;24;335;69-213;30
79;Alfred;Smo³ka;927616680;179;810;44-102;973
80;Œwiatozar;Siwaszczyk;232773936;71;935;41-935;1554
81;Lilian;Teofil;947767717;125;214;54-530;847
82;Ronald;¯ygier;613088362;197;664;17-300;1120
83;Hygin;Podiuk;224132581;15;428;23-400;1365
84;Mauryn;Omtisch;642747884;56;257;73-110;1118
85;Bohdan;Franezik;703186063;189;814;26-415;65
86;Waleriusz;Fahrowicz;927471725;163;885;49-305;409
87;Myœlimir;Mejssner;752472840;11;907;26-220;1386
88;Euzebiusz;Swiderak;638615000;14;842;95-200;1102
89;Jonatan;Celory;313593792;187;338;05-120;468
90;Prosper;Szkrabut;991641956;10;560;72-100;1175
91;Gall;Szadziuk;195613863;90;960;72-405;109
92;Drogomi³;Nuborczyk;996151404;115;527;16-406;559
93;Faust;Hiñca;351230886;103;987;18-421;1209
94;Unis³aw;Etnarska;244706948;117;582;72-130;776
95;Ambro¿y;Kigert;638635053;134;254;42-600;19
96;Sulis³aw;Przesadzka;810675998;93;398;13-100;1073
97;Brunon;Tralla;753412331;187;740;26-700;755
98;Jeron;Malowska;899066291;141;335;48-100;106
99;Zachariasz;Palomba;661546508;30;900;42-215;956
100;Amedeusz;Falisiñska;572300025;108;712;97-545;633
101;Naczes³aw;Spickowska;809887063;29;143;03-002;1512
102;Petroniusz;Olmas;266094861;131;573;81-876;1324
103;Artemon;Czygryn;689929206;105;531;43-419;1362
104;Bjorn;Masson;419128031;175;716;96-320;1747
105;Bruno;Kiernowicz;817731622;97;574;46-320;107
106;Laurentyn;Powliczak;308388916;178;683;87-140;258
107;Walery;Pomierczyk;256165476;76;317;38-200;519
108;Ozeasz;Skliczko;610076871;115;151;64-140;845
109;Przemi³;Cerlak;612111882;88;972;53-022;962
110;Ezdrasz;Ducha;682463576;78;264;83-404;1062
111;Balcer;Jarmyszczak;712926412;47;524;85-713;1974
112;Seweryn;Mrugalski;814534998;22;501;41-200;1329
113;Andrzej;Wiencki;181246150;57;259;35-327;935
114;Apolinary;Paciasak;424679477;133;177;01-975;2008
115;Izydor;Œledzianowski;496138450;196;486;15-779;1477
116;Lucjan;Gawrosz;371639806;102;277;51-180;1503
117;Patrycjusz;Sanjines;685014110;172;945;10-169;24
118;Julian;£uczewicz;766509693;52;512;43-419;460
119;Feliks;Dolezo³;479095786;182;90;41-506;1110
120;Modest;Pêdisz;116395256;163;882;39-216;366
121;Juliusz;Hrymik;863322709;172;646;32-800;414
122;Teofil;Maksiak;898591390;186;118;26-010;896
123;Wiêcemir;Ledko;737163062;200;136;71-781;273
124;Uniemys³;Hasna;369851990;116;857;15-523;1708
125;Borzys³aw;Hoeftmann;931451208;65;508;05-120;1428
126;Rudolf;Czadel;947451081;162;634;44-102;961
127;Natan;Okomoniewski;486957226;34;187;41-907;1715
128;Miron;Pietrajtys;579461070;88;557;40-818;42
129;Florian;Szybczyñski;504042068;55;752;64-608;1012
130;Przes³aw;Czwenderuk;873236837;37;196;28-305;1319
131;Wszeb¹d;Cembrzyna;741675224;122;759;87-810;1449
132;Gaudenty;Posacowicz;984601321;174;543;32-087;1062
133;Engelbert;Opacki;422737669;122;852;81-348;1493
134;Drogomys³;Bartlitz;219012987;148;221;19-520;243
135;Zacheusz;Chwalimska;557567523;88;967;63-400;53
136;Prokop;Libracki;682280280;149;255;66-225;1542
137;Tadeusz;Dermo;806907306;148;54;02-955;1548
138;Karin;£ubin;308839547;76;968;58-302;1489
139;Gracjan;Kytzler;191001910;57;987;96-500;644
140;Kanizjusz;Bajczewski;912453214;73;740;86-105;767
141;Noemi;£yczyñski;313575575;119;237;07-230;780
142;Ildefons;Ha³añ;936303036;2;773;57-379;494
143;Odon;Olezyk;707784246;108;932;44-109;1060
144;Stojgniew;Lugier;382404628;178;506;03-940;1576
145;Wiêczys³aw;Carter;925996590;192;346;99-107;1579
146;Demetriusz;Cepcarz;696276458;165;143;38-500;1938
147;Mojmir;Patko;475291706;70;24;41-813;754
148;Chrystian;Dobelewska;782970049;114;780;63-400;555
149;Zdzis³aw;Guœlin;590318482;55;880;62-002;129
150;Daniel;Czaplicha;557130676;9;137;60-480;1298
151;Bronis³aw;Czekilew;745751860;131;146;38-600;1180
152;Bonawentura;Sarzewska;871598099;10;725;05-802;507
153;Racimir;Gabrusz;686449283;70;163;26-680;1722
154;Epifan;Labrync;715063834;30;681;97-215;1262
155;Czêstowoj;Fetliñski;761223146;161;147;14-204;1939
156;Wieñczys³aw;Œci¿ko;386141721;134;415;32-218;1040
157;Lutomys³;Narwoysz;430346422;128;406;60-113;2016
158;Emilian;Dyszlewicz;549993289;195;770;86-170;1361
159;Sykstus;Gryfny;366387832;108;516;04-039;90
160;Rygobert;Stambuliñska;608823027;126;607;04-191;309
161;Klet;Huffman;304952057;6;758;52-311;1583
162;Bruno;Skojnowska;169121148;67;706;95-001;1836
163;Lech;P³oñsk;781935268;91;263;45-551;615
164;Dytrych;Siekanos;177593975;55;619;87-810;2022
165;Judasz;Szromek;394774236;60;865;58-370;334
166;Amedeusz;Kêdziorz;468728971;188;802;26-610;1812
167;Antym;Bieganiewska;635757631;19;138;78-123;1374
168;Maciej;Woroniej;964337320;8;841;62-513;101
169;Przybys³aw;Stachelczyk;165780561;129;648;24-313;1173
170;Andron;Szamol;644757198;162;230;39-200;469
171;Kajus;¯aklicki;571402614;80;534;07-323;1450
172;Wszeb¹d;Prockiewicz;839352297;139;704;63-400;970
173;Ubys³aw;Janoszek;232271018;199;302;93-415;1681
174;Hegezyp;Grzebuliñski;304947081;95;919;63-700;932
175;Daros³aw;Golizda;642116398;41;694;16-400;632
176;Drogos³aw;Czerynda;141569458;198;124;38-100;1215
177;Symplicjusz;K³uœ;652396641;200;726;62-402;430
178;Spycigniew;Habriejski;224211771;120;692;97-226;1082
179;Olaf;Mieleniczuk;698810230;159;65;99-340;557
