1;Ferdynand;Drylek;30-Dec-95;1789;2;1159
2;Juliusz;Miedziocha;11.mar.17;1819;3;1577
3;¯yros³aw;Klewlicz;2-Sep-03;1636;3;1291
4;Siemowit;Jelenowski;6-Apr-91;2070;1;1834
5;Otton;Michasz;23-Jun-16;174;3;1422
6;Dziers³aw;Wiœnik;11-Jul-04;1883;1;1500
7;Florian;Dacnik;13-Feb-09;131;4;1638
8;Sêdzis³aw;Kawsiñska;23-Aug-06;2136;1;1618
9;Salomon;Wros³awski;30-Dec-17;2057;1;1626
10;Przybymir;Hauryszkiewicz;18.mar.97;1771;2;1388
11;Dobrogost;Chrubczyñski;21-Jan-10;238;1;846
12;Godfryd;Michocki;27-Jan-19;471;1;1348
13;Makary;Bostkowska;13.mar.19;2046;3;1399
14;Brunon;Drzewicki;22-Jun-96;338;1;719
15;Euzebiusz;Pilorz;3-Aug-10;120;2;1945
16;Hipolit;Kotremba;6-Sep-05;228;4;851
17;Sylwester;Cegierski;15-Jul-04;565;3;1060
18;Sambor;Emeryt;21-May-92;1907;4;801
19;Tadeusz;Trymbu³a;1-Dec-98;1376;2;207
20;Chwalibóg;Kuliczanka;22.mar.21;246;3;700
21;Hubert;Paklepa;31-Dec-95;496;3;25
22;Ezdrasz;Pêta;17-Apr-97;306;1;393
23;Czech;Waniak;20-Feb-08;1480;3;169
24;Przybyrad;Dziadu³a;19-Oct-90;1302;3;1340
25;Bogusz;Firfa;21.mar.94;1327;1;1037
26;Roœcis³aw;Tocek;26-Aug-14;1975;3;977
27;Chwalibóg;Pychewicz;5-Aug-12;551;2;1165
28;Bolebor;Mar¿êda;9-Feb-15;610;1;475
29;Petroniusz;Piarda;16.mar.08;2147;3;1439
30;Borzymir;£ubkowski;29-Jun-96;1098;3;1404
31;Œwiêtope³k;Koniaszewski;2-Nov-04;868;2;78
32;Angelus;Ochicki;14-Jan-01;370;4;1902
33;Chociebor;Osterek;20.mar.03;308;2;1152
34;Bogumir;Nandrysz;08.mar.15;1882;4;651
35;Pakosz³aw;Poliak;21-Feb-14;694;2;102
36;Dobrowój;Oksmitycz;13-Feb-09;1947;3;1778
37;Mêcimir;Zajonkowska;22-May-17;1575;4;1475
38;Mariusz;Raza;26-Nov-96;334;3;658
39;Dezydery;Flug;21.mar.02;2091;2;857
40;Agenor;Makusiñska;15-Jan-91;1068;4;731
41;Mœcibor;Danelski;13.mar.90;280;4;482
42;Rupert;Gorbaciak;12-Nov-18;1475;2;1730
43;Bazyl;Su³akow;7-Jul-07;1915;3;951
44;Mi³os³aw;Kuschka;31-Oct-17;1150;3;520
45;Beniamin;Piskanowicz;09.mar.13;1095;2;142
46;Cieszymir;Cuter;27.mar.13;357;3;38
47;Eligiusz;Sopie¿yñska;23-Sep-10;1288;2;337
48;Domarad;Lulkowski;20-Oct-92;232;2;173
49;Cyryl;Korznik;20.mar.97;2124;3;25
50;Witomi³;Racza;13-Apr-99;130;3;1235
51;Ulrych;Medrecka;17-Sep-22;763;2;910
52;Siemowit;Roniek;8-Dec-90;429;1;850
53;Nadbor;Ziarno;31-Jan-93;1218;3;827
54;Odo;Grzybaczyñska;13-Feb-93;1236;4;1990
55;Pantaleon;Buniakowski;30-Dec-96;1342;2;66
56;Priam;Oprecka;16-Apr-19;1089;2;1359
57;Dzier¿ys³aw;Kieferling;26-Jun-13;1159;2;205
58;Jakub;Geszlecht;22-Jul-01;2066;2;838
59;Maur;¯ebrzowski;21-Feb-22;636;3;61
60;S¹dos³aw;Atkowska;20-Apr-05;1664;1;45
61;Spirydion;Czapelski;28-Jul-13;1663;1;878
62;Leopold;¯uracki;12-Jul-94;1255;3;1080
63;Ziemis³aw;Brueckner;28-Jan-19;1164;3;246
64;Jan Nepomucen;Klachta;24-Nov-10;145;1;1761
65;Strze¿ywoj;Dulaj;21-Dec-05;1986;2;1199
66;W³oœcis³aw;Cibulka;8-Oct-03;1719;4;835
67;Tworzymir;Truchaj;15-Jun-95;649;4;319
68;Marian;Szymciszek;18-Oct-15;749;2;1293
69;Beatus;Sideja;24.mar.14;1079;4;1688
70;Mieszko;Niekut;11-Nov-05;981;4;1495
71;Unimir;Rybnicki;2-Dec-99;300;2;1762
72;Atanazy;Breswan;13.mar.20;1177;1;455
73;Domarat;Rzontkowski;17-Aug-08;1061;2;1363
74;S¹dos³aw;Gutknecht;08.mar.19;1551;2;1992
75;Zdzimir;Snokumska;08.mar.10;803;2;1142
76;Radogost;Arzt;29-May-96;1151;3;1015
77;Rut;Pu³kaszek;4-Jul-06;1394;1;1969
78;Franciszek;Kardzis;15-Apr-98;585;3;1697
79;Sozant;Kipieñ;23.mar.04;1628;4;1724
80;Manfred;Knysta³a;20-Dec-16;1153;3;573
81;Œwiêtope³k;Mentlikowska;28-Jun-17;1965;3;1671
82;Rainer;Czerankowska;19-Apr-01;775;4;1848
83;Renat;Do³goszej;17.mar.91;1403;4;360
84;Daniel;Czubaj³o;29-Nov-20;1;4;294
85;Lubor;Kwiatyszek;18.mar.19;1563;3;613
86;Grodzis³aw;Gêdek;28-Jul-95;1256;4;1564
87;Oskar;Krzyœkowski;13-May-10;459;3;357
88;Sulimierz;Ujda;4-Jun-93;227;2;1496
89;Leonard;Chrustana;27-Feb-01;1894;3;831
90;Konstantyn;Bartocholska;23-Jun-01;19;1;1063
91;Przedpe³k;Laryga;6-Jul-96;2104;4;1613
92;Szczepan;Sata³a;29-Jan-02;310;1;1778
93;Niegomir;Jakinów;6-Oct-10;1229;4;502
94;Apoloniusz;Demarczik;1-Jan-05;935;4;1418
95;Mieszko;Keniksman;2-Jun-00;138;3;619
96;Przedwoj;Skubczewska;13-Sep-07;455;4;1230
97;Kiry³;Mad³owska;6-Nov-00;376;1;1929
98;Lucjusz;Bomastek;1-Feb-16;382;4;924
99;Jarope³k;Mangecka;27-Aug-07;2045;3;362
100;Rafael;Swier¿ewski;11-Dec-96;1321;4;1109
101;Gerald;Julkowicz;22.mar.13;1367;3;992
102;Myœlibor;Klid;5-Nov-94;174;4;1727
103;Egbert;Uwa¿na;15-Jun-08;655;4;885
104;Czechasz;Krajdos;10.mar.13;56;2;1049
105;Bogus³aw;Owsiankow;11-May-21;541;1;1828
106;Wojbor;Paluda;18-Dec-19;736;2;893
107;Godzis³aw;Neckiewicz;05.mar.97;690;3;117
108;Zorian;Pluszczyszyn;22.mar.18;1481;2;160
109;Epifan;Laworta;8-Nov-21;1951;1;807
110;Goœciwit;P³u¿nikow;11-Feb-91;518;4;1745
111;Uniedrog;Ometiuch;6-Aug-09;1202;1;1009
112;Nikodem;Zdziób³owska;11-Dec-01;1466;4;283
113;Albin;Baciarski;4-Jun-03;829;1;1778
114;Klaudiusz;Skromida;31-May-96;1631;1;1167
115;Nelly;Zembrzuski;24-Aug-20;1148;3;1324
116;W³oœcibor;Dobrzynkiewicz;8-Jun-10;986;3;1464
117;Dytrych;Zenek;25-Jun-17;310;1;869
118;Celestyn;Grymbosz;11-Jun-21;1424;2;983
119;Radzim;Circ;1-Sep-16;406;1;1450
120;Jarogniew;Krawiczyñski;31-Oct-17;424;3;663
121;Sylweriusz;Zachwija;26-Dec-18;175;2;1963
122;Narcyz;Olf;29-Nov-98;771;1;1939
123;Ciechomir;Wojdasz;9-Apr-08;1229;1;1292
124;Warcis³aw;¯yrkowski;11-Nov-21;1885;2;809
125;Dionizy;Wyrobiec;7-Nov-15;359;3;488
126;Gustaw;Skrobacz;15-Jan-14;1647;3;1981
127;Spirydion;Dymbkowski;8-Sep-16;1395;4;1037
128;Wis³aw;Ra¿an;16-Aug-09;1938;1;1216
129;Herakliusz;Taruszko;8-Sep-94;598;3;856
130;Dymitriusz;Wolsztyn;17-Jun-21;2112;2;205
131;Gabor;Kostus;18-Jan-90;1530;1;960
132;Czcis³aw;£azorska;5-Apr-00;168;2;705
133;Otton;Zatoczyk;25-Nov-22;1364;3;1652
134;Zbys³aw;Nazgowicz;20.mar.14;2053;1;135
135;Borzywoj;Groszy;1-Jul-01;737;1;737
136;Bohdan;Hajkut;31-Aug-03;1829;2;474
137;W³odzimierz;Szpringman;15-Oct-09;71;1;700
138;Radowit;Mosin;13-Jul-07;1889;3;453
139;Kiejstut;ŒloŸnik;22.mar.08;797;2;52
140;Arseniusz;Giercos;25-Apr-16;1106;2;953
141;Racimir;Pr¹dyœ;28-Apr-00;1526;1;1516
142;Teodozjusz;Fortonko;4-Feb-91;1592;4;191
143;Bo¿ymierz;Duga;13-May-18;65;3;1011
144;Bazyl;Stenz;16-Jan-14;339;2;1495
145;Karolin;Knyzio;16-Aug-02;1919;2;109
146;Agapit;Berkij;23-Dec-03;294;1;357
147;Ernestyn;Sliwiak;8-Apr-09;1070;4;247
148;Telesfor;Dehn;14-Jul-22;841;2;1217
149;Tymon;Krustek;17-Sep-00;1755;4;1461
150;Ernestyn;Zborzêski;27-Feb-15;914;3;1468
151;Leoncjusz;Ralf;9-Apr-00;3;1;1402
152;Przybys³aw;¯eszotek;17-Nov-03;624;2;1257
153;Bronisz;Szrotirz;13-Feb-11;1628;1;128
154;Pankracy;Zdrawomys³ow;7-Jun-15;1783;3;343
155;Patrycjusz;Jakuœ;10-Oct-10;1429;3;1515
156;¯yros³aw;Mojek;15-Feb-97;1009;4;845
157;Rajmund;Augustyniewicz;3-Apr-21;1350;3;4
158;Ageusz;Grontyman;9-Jun-90;1272;2;1843
159;Chocies³aw;Grejciuch;3-Dec-91;1632;1;129
160;Sieciech;Szkalaj;5-Apr-04;856;4;762
161;Wenancjusz;Wawrzuszko;3-Feb-19;567;3;1844
162;Niedamir;Bekler;19.mar.13;1704;3;125
163;Oktawiusz;Alczyk;10-Sep-12;482;4;374
164;Florian;Biemkowska;24-Feb-12;1961;2;1094
165;Ludwik;Gregulski;4-Dec-90;1529;4;316
166;Rafael;Jankewicz;22-Jan-15;1014;4;624
167;Czechasz;Wardaszewski;10-Oct-01;1661;4;1960
168;Noemi;Mrowca;26-May-04;1402;4;48
169;Ninomys³;Tyburzec;8-Sep-11;2129;3;1447
170;Mœcibor;Sa³ajski;15-Oct-94;1082;1;1511
171;Karol Boromeusz;Finotto;26-Sep-10;986;2;1585
172;Nosis³aw;Lichawa;12-Nov-91;1516;2;1004
173;Ali;Topercer;28-Jan-95;2147;1;1690
174;Sylwin;Gierwinowicz;1-Feb-90;558;4;1115
175;Bazyliusz;P³ucieñczak;26-Jun-10;3;4;243
176;Wilibald;Fasiecki;1-Jul-92;1358;2;1549
177;Tyburcjusz;KaŸmirzewski;29-May-91;2057;1;876
178;Œwiêcimir;Fryn;30.mar.12;961;3;1414
179;Bêdzis³aw;Bratusenko;24-Oct-09;2118;3;1424
180;Czêstowoj;Guterko;24-Jun-17;1386;2;1162
181;Horacjusz;Fost;5-Aug-03;693;2;1694
182;Adolf;Ciechera;12-Feb-00;1485;2;374
183;Racibor;Pietke;22-Oct-96;2042;2;298
184;Iwo;Radonisz;3-Oct-22;1951;3;1934
185;Radomys³;Bontyn;9-Jul-99;2070;4;1864
186;Bogumir;Stesicka;15-May-15;1943;1;419
187;Wrócis³aw;Andreassen;7-Oct-22;2148;3;1757
188;Dzier¿ys³aw;Genzler;14-Oct-91;1254;2;1873
189;Antoni;Myœlankiewicz;27-Sep-06;1385;3;1717
190;Emanuel;Finkelperl;23-Jan-18;818;4;1787
191;Ubys³aw;Tracha³a;03.mar.19;462;3;928
192;Karp;Zmorlak;25-Aug-19;1608;2;1798
193;Odo;Berycz;18-Sep-22;1588;2;134
194;Zenobiusz;¯y³owski;17-Aug-02;415;4;1503
195;Trofim;Loksztejn;15-Jul-19;1777;3;74
196;Borys³aw;Molkityn;24-Jan-20;1349;4;1213
197;Wyszes³aw;Kêpiak;3-Jun-97;436;1;1377
198;Filip;Siegienda;25-Oct-06;1853;2;1383
199;Efrem;Nie¿orawski;29-Aug-21;544;3;159
200;Saturnin;Nadzio;8-Jan-07;542;1;1025
201;Drogos³aw;Gotuwiecki;17-Oct-08;334;1;1953
202;Asteriusz;Mercek;18-Sep-06;263;4;298
203;Dezydery;Kalamasz;22-Sep-20;7;4;1584
204;Machabeusz;Malczysz;1-Apr-06;85;4;650
205;Abel;Chroncy;8-May-05;1338;2;1022
206;Florentyn;Smetañski;26-Dec-95;1449;2;1365
207;Noemi;Wejngold;11-Jan-20;1033;2;533
208;Makary;Wierzchon;18-Apr-18;1451;3;715
209;Walter;¯eniewicz;14-May-07;1780;2;1218
210;Dobies³aw;Cywkiel;14-Jul-17;1241;1;1800
211;Teobald;Mosga³a;20-Dec-17;543;2;1658
212;Placyd;Lyszczyna;7-Dec-91;1039;4;652
213;Germanik;Burg;19-Nov-19;1305;3;1150
214;Brodzis³aw;Szamotulski;6-Oct-04;686;4;692
215;Andron;Poltañska;5-Jul-14;1239;3;1328
216;Marcelin;£uczkosiñski;13-Feb-92;921;2;587
217;Goœcis³aw;Jakubowicz;12-Apr-06;310;3;663
218;S¹dos³aw;Rest;1-May-02;901;4;649
219;Antoni;Kowardziej;20-Jan-91;1183;3;1147
220;Bogurad;Wikopold;21-Nov-13;243;2;1023
221;Lech;Fietowska;6-Sep-11;1527;1;651
